budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
115000000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,146282411,True Lies,R,15/07/94,141,7.2,Arnold Schwarzenegger,202934,Claude Zidi,1994
23000000,Crowvision Inc.,USA,Alex Proyas,Action,50693162,The Crow,R,13/05/94,102,7.6,Brandon Lee,144969,James O'Barr,1994
12000000,Morgan Creek Productions,USA,Tom Shadyac,Comedy,72217000,Ace Ventura: Pet Detective,PG-13,04/02/94,86,6.9,Jim Carrey,232964,Jack Bernstein,1994
63000000,Warner Bros.,USA,Lawrence Kasdan,Adventure,25052000,Wyatt Earp,PG-13,24/06/94,191,6.7,Kevin Costner,38101,Dan Gordon,1994
46000000,Universal Pictures,USA,Brian Levant,Comedy,130512915,The Flintstones,PG,27/05/94,91,4.8,John Goodman,64538,Tom S. Parker,1994
11500000,Jersey Films,USA,Ben Stiller,Comedy,20982557,Reality Bites,PG-13,18/02/94,99,6.6,Winona Ryder,38652,Helen Childress,1994
35000000,Paramount Pictures,USA,David Carson,Action,75668868,Star Trek: Generations,PG,18/11/94,118,6.6,Patrick Stewart,64703,Gene Roddenberry,1994
18000000,Touchstone Pictures,USA,Tim Burton,Biography,5887457,Ed Wood,R,07/10/94,127,7.9,Johnny Depp,149166,Rudolph Grey,1994
8000000,New Line Cinema,USA,Wes Craven,Fantasy,18090181,New Nightmare,R,14/10/94,112,6.4,Heather Langenkamp,41464,Wes Craven,1994
230000,View Askew Productions,USA,Kevin Smith,Comedy,3151130,Clerks,R,09/11/94,92,7.8,Brian O'Halloran,190615,Kevin Smith,1994
45000000,TriStar Pictures,USA,Kenneth Branagh,Drama,22006296,Mary Shelley's Frankenstein,R,04/11/94,123,6.4,Robert De Niro,44892,Mary Shelley,1994
62000000,Mace Neufeld Productions,USA,Phillip Noyce,Action,122187717,Clear and Present Danger,PG-13,03/08/94,141,6.9,Harrison Ford,74328,Tom Clancy,1994
15000000,Columbia Pictures Corporation,USA,Gillian Armstrong,Drama,50083616,Little Women,PG,25/12/94,115,7.3,Susan Sarandon,39288,Louisa May Alcott,1994
40000000,Warner Bros.,USA,Donald Petrie,Comedy,38087756,Ri¢hie Ri¢h,PG,21/12/94,95,5.3,Macaulay Culkin,53644,Neil Tolkin,1994
600000,Genre Pictures,USA,Kim Henkel,Comedy,141626,Texas Chainsaw Massacre: The Next Generation,R,21/10/95,95,3.2,Renée Zellweger,16202,Kim Henkel,1994
50000000,Twentieth Century Fox Film Corporation,USA,Patrick Read Johnson,Adventure,16671505,Baby's Day Out,PG,01/07/94,99,6,Lara Flynn Boyle,36625,John Hughes,1994
35000000,Capcom Entertainment,Japan,Steven E. de Souza,Action,33423521,Street Fighter,PG-13,23/12/94,102,3.8,Jean-Claude Van Damme,56055,Steven E. de Souza,1994
20000000,Warner Bros.,USA,Duwayne Dunham,Comedy,19288821,Little Giants,PG,14/10/94,107,6.3,Rick Moranis,21057,James Ferguson,1994
5000000,WingNut Films,New Zealand,Peter Jackson,Biography,3049135,Criaturas celestiales,R,27/03/98,99,7.4,Melanie Lynskey,52852,Fran Walsh,1994
8000000,New Line Cinema,USA,John Carpenter,Fantasy,8946600,In the Mouth of Madness,R,03/02/95,95,7.2,Sam Neill,47554,Michael De Luca,1994
31000000,Egg Pictures,USA,Michael Apted,Drama,33683817,Nell,PG-13,23/12/94,112,6.5,Jodie Foster,23973,Mark Handley,1994
45000000,Warner Bros.,USA,Joel Schumacher,Crime,92115211,The Client,PG-13,20/07/94,119,6.7,Susan Sarandon,49609,John Grisham,1994
75000000,Donner/Shuler-Donner Productions,USA,Richard Donner,Action,101631272,Maverick,PG,20/05/94,127,7,Mel Gibson,88132,Roy Huggins,1994
22000000,Walt Disney Pictures,USA,John Pasquin,Comedy,144833357,The Santa Clause,PG,11/11/94,97,6.4,Tim Allen,71963,Leo Benvenuti,1994
45000000,Warner Bros.,Peru,Luis Llosa,Action,57362581,The Specialist,R,07/10/94,110,5.5,Sylvester Stallone,53868,John Shirley,1994
40000000,Cinergi Pictures Entertainment,USA,Penny Marshall,Comedy,24332324,Renaissance Man,PG-13,03/06/94,128,6.1,Danny DeVito,14657,Jim Burnstein,1994
27000000,Vegahom Europe,USA,Stephen Sommers,Adventure,44342956,El Libro de la Selva,PG,30/12/94,111,6,Jason Scott Lee,14034,Rudyard Kipling,1994
3000000,CiBy 2000,Australia,P.J. Hogan,Comedy,15185594,La boda de Muriel,R,31/03/95,106,7.2,Toni Collette,29720,P.J. Hogan,1994
24000000,Caravan Pictures,USA,William Dear,Comedy,50236831,Angels in the Outfield,PG,15/07/94,102,6.1,Danny Glover,23966,Dorothy Kingsley,1994
55000000,Paramount Pictures,USA,John Landis,Action,42610000,Beverly Hills Cop III,R,25/05/94,104,5.5,Eddie Murphy,64891,Danilo Bach,1994
31000000,Baltimore Pictures,USA,Robert Redford,Biography,24822619,Quiz Show,PG-13,07/10/94,133,7.5,Ralph Fiennes,57114,Paul Attanasio,1994
55000000,Warner Bros.,USA,Barry Levinson,Drama,83015089,Disclosure,R,09/12/94,128,6,Michael Douglas,39139,Michael Crichton,1994
70000000,Columbia Pictures Corporation,USA,Mike Nichols,Drama,65012000,Wolf,R,17/06/94,125,6.2,Jack Nicholson,46095,Jim Harrison,1994
30000000,Paramount Pictures,USA,Peter Segal,Comedy,51132598,Naked Gun 33 1/3: The Final Insult,PG-13,18/03/94,83,6.5,Leslie Nielsen,82374,Pat Proft,1994
27000000,Twentieth Century Fox Film Corporation,USA,Pixote Hunt,Animation,13670688,The Pagemaster,G,23/11/94,80,6,Macaulay Culkin,17391,David Kirschner,1994
30000000,PolyGram Filmed Entertainment,UK,Joel Coen,Comedy,2869369,The Hudsucker Proxy,PG,11/03/94,111,7.3,Tim Robbins,68649,Ethan Coen,1994
40000000,Cinergi Pictures Entertainment,USA,Richard Rush,Mystery,19721814,Color of Night,R,19/08/94,121,5.1,Bruce Willis,19835,Billy Ray,1994
45000000,Universal Pictures,USA,Curtis Hanson,Action,46815748,The River Wild,PG-13,30/09/94,111,6.3,Meryl Streep,35146,Denis O'Neill,1994
8000000,Twentieth Century Fox Film Corporation,USA,Hart Bochner,Comedy,4350774,PCU,PG-13,29/04/94,79,6.6,Jeremy Piven,10934,Adam Leff,1994
25000000,New Line Cinema,USA,Jeremy Leven,Comedy,22150451,Don Juan DeMarco,PG-13,07/04/95,97,6.7,Johnny Depp,43444,Lord Byron,1994
10000000,Golden Harvest Company,Hong Kong,Chia-Liang Liu,Action,11546543,The Legend of Drunken Master,R,20/10/00,102,7.6,Jackie Chan,37144,Edward Tang,1994
60000000,Universal Pictures,USA,Ivan Reitman,Comedy,36763355,Junior,PG-13,23/11/94,109,4.6,Arnold Schwarzenegger,56919,Kevin Wade,1994
27000000,Largo Entertainment,Canada,Peter Hyams,Action,44853581,Timecop: Policía del futuro,R,16/09/94,99,5.8,Jean-Claude Van Damme,47553,Mark Verheiden,1994
20000000,Nest Family Entertainment,USA,Richard Rich,Animation,9771658,The Swan Princess,G,18/11/94,100,6.4,Jack Palance,18972,Richard Rich,1994
3500000,New Line Cinema,USA,Jeff Pollack,Crime,16036534,Above the Rim,R,23/03/94,96,6.6,Duane Martin,11508,Jeff Pollack,1994
18000000,Etalon Film,USA,Robert Altman,Comedy,11300653,Ready to Wear,R,25/12/94,133,5,Sophia Loren,12985,Robert Altman,1994
2500000,Incorporated Television Company (ITC),UK,John Dahl,Crime,6138485,The Last Seduction,R,26/10/94,110,7.1,Linda Fiorentino,17307,Steve Barancik,1994
50000000,Seagal/Nasso Productions,USA,Steven Seagal,Action,38590500,On Deadly Ground,R,18/02/94,101,4.4,Steven Seagal,19210,Ed Horowitz,1994
25000000,Savoy Pictures,USA,Garry Marshall,Comedy,6841570,Exit to Eden,R,14/10/94,113,4.1,Dana Delany,5798,Anne Rice,1994
7400000,New Line Cinema,USA,Ernest R. Dickerson,Action,7690013,Surviving the Game,R,15/04/94,96,6.1,Rutger Hauer,8846,Eric Bernt,1994
2500000,Channel Four Films,UK,Danny Boyle,Crime,2881508,Shallow Grave,R,10/02/95,89,7.3,Kerry Fox,49100,John Hodge,1994
14000000,Universal Pictures,USA,Spike Lee,Comedy,13640000,Crooklyn,PG-13,13/05/94,115,6.9,Alfre Woodard,6583,Cinqué Lee,1994
16000000,Heathrow Productions,USA,Tony Richardson,Drama,3359465,Blue Sky,PG-13,16/09/94,101,6.4,Jessica Lange,5683,Rama Laurie Stagner,1994
12000000,Columbia Pictures Corporation,USA,Christopher Cain,Action,8914777,The Next Karate Kid,PG,09/09/94,107,4.3,Pat Morita,20024,Robert Mark Kamen,1994
50000000,Metro-Goldwyn-Mayer (MGM),USA,Stephen Hopkins,Action,30155037,Blown Away,R,01/07/94,121,6.2,Jeff Bridges,24421,John Rice,1994
28000000,Don Bluth,Ireland,Don Bluth,Animation,11373501,Pulgarcita,G,30/03/94,100,6.4,Jodi Benson,12483,Hans Christian Andersen,1994
25000000,Universal Pictures,USA,Russell Mulcahy,Action,32055248,The Shadow,PG-13,01/07/94,108,6,Alec Baldwin,19958,Walter B. Gibson,1994
20000000,Miramax,USA,Woody Allen,Comedy,13383737,Bullets Over Broadway,R,24/02/95,98,7.5,John Cusack,31237,Woody Allen,1994
13000000,Savoy Pictures,USA,John Waters,Comedy,7881335,Serial Mom,R,13/04/94,95,6.7,Kathleen Turner,22529,John Waters,1994
40000000,Castle Rock Entertainment,USA,Rob Reiner,Adventure,7138449,North,PG,22/07/94,87,4.4,Elijah Wood,11852,Alan Zweibel,1994
20000000,Columbia Pictures Corporation,USA,Martin Campbell,Action,15340000,No Escape,R,29/04/94,118,6.1,Ray Liotta,16576,Richard Herley,1994
3000000,Cecchi Gori Group Tiger Cinematografica,Italy,Michael Radford,Biography,21848932,Il Postino,PG,22/03/96,108,7.7,Massimo Troisi,27999,Antonio Skármeta,1994
20000000,Capella International,USA,Robert Benton,Comedy,39487686,Nobody's Fool,R,13/01/95,110,7.4,Paul Newman,15759,Richard Russo,1994
3500000,Lumière Pictures,USA,Boaz Yakin,Crime,8094616,Fresh,R,02/09/94,114,7.6,Sean Nelson,10327,Boaz Yakin,1994
25000000,Beacon Communications,USA,Alan Parker,Comedy,6507514,The Road to Wellville,R,28/10/94,118,5.8,Anthony Hopkins,10226,T. Coraghessan Boyle,1994
11000000,Touchstone Pictures,USA,Ted Demme,Comedy,11439193,The Ref,R,11/03/94,96,6.9,Denis Leary,20548,Marie Weiss,1994
7000000,Jersey Films,USA,John G. Avildsen,Biography,19604000,8 Seconds,PG-13,25/02/94,105,6.5,Luke Perry,4037,Monte Merrick,1994
6200000,Warner Bros.,USA,Alan Metter,Comedy,126247,Police Academy: Mission to Moscow,PG,26/08/94,83,3.3,G.W. Bailey,26638,Neal Israel,1994
10000000,Caravan Pictures,USA,Keenen Ivory Wayans,Action,29392418,A Low Down Dirty Shame,R,23/11/94,100,5.9,Keenen Ivory Wayans,4331,Keenen Ivory Wayans,1994
7850000,Greenleaf Productions,USA,James Yukich,Action,2341309,Double Dragon,PG-13,04/11/94,96,3.7,Robert Patrick,9200,Paul Dini,1994
200000,Buckeye Films,USA,David O. Russell,Comedy,1359736,Spanking the Monkey,UNRATED,15/07/94,100,6.3,Jeremy Davies,5363,David O. Russell,1994
12000000,Fine Line Features,UK,Roman Polanski,Drama,2104000,Death and the Maiden,R,27/01/95,103,7.3,Sigourney Weaver,18786,Ariel Dorfman,1994
40000000,Castle Rock Entertainment,USA,Paul Weiland,Comedy,43622150,City Slickers II: The Legend of Curly's Gold,PG-13,10/06/94,116,5.5,Billy Crystal,15982,Lowell Ganz,1994
25000000,Paramount Pictures,USA,Fred Schepisi,Comedy,26372663,I.Q.,PG,25/12/94,100,6.2,Tim Robbins,20930,Andy Breckman,1994
19000000,"Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)",USA,Paul Flaherty,Comedy,7411659,Clifford,PG,01/04/94,90,5.3,Martin Short,5807,William Porter,1994
35000000,Imagine Entertainment,USA,Gregg Champion,Action,20277185,The Cowboy Way,PG-13,03/06/94,102,5.8,Woody Harrelson,6634,Robert C. Thompson,1994
20000000,Ben-Ami/Leeds Productions,USA,Charles T. Kanganis,Family,11784000,3 Ninjas Kick Back,PG,06/05/94,93,4.4,Victor Wong,7189,Sang-ok Shin,1994
15000000,TriStar Pictures,USA,Nora Ephron,Comedy,6798240,Mixed Nuts,PG-13,21/12/94,97,5.4,Steve Martin,8563,Nora Ephron,1994
700000,Cineville,USA,George Huang,Comedy,376928,Swimming with Sharks,R,21/04/95,93,7.1,Kevin Spacey,20003,George Huang,1994
45000000,Paramount Pictures,USA,John Badham,Action,28720380,Drop Zone,R,09/12/94,101,5.6,Wesley Snipes,16774,Tony Griffin,1994
5000000,21st Century Film Corporation,USA,Allan A. Goldstein,Action,1702394,Death Wish V: The Face of Death,R,14/01/94,95,4.7,Charles Bronson,5329,Brian Garfield,1994
7000000,"Jackson/McHenry Company,The",USA,Doug McHenry,Crime,20851521,Jason's Lyric,R,28/09/94,120,6.6,Allen Payne,2838,Bobby Smith Jr.,1994
45000000,Paramount Pictures,USA,Mark Rydell,Drama,20928892,Intersection,R,21/01/94,98,5.2,Richard Gere,6432,David Rayfiel,1994
4000000,Audifilm,Italy,Michele Soavi,Comedy,253969,Cemetery Man,R,26/04/96,105,7.3,Rupert Everett,17110,Gianni Romoli,1994
50000000,Hollywood Pictures,USA,Deran Sarafian,Action,16478900,Terminal Velocity,PG-13,23/09/94,102,5.4,Charlie Sheen,11352,David Twohy,1994
26000000,Fallingcloud,Canada,Andrew Morahan,Action,13829734,Highlander: The Final Dimension,PG-13,27/01/95,99,4.3,Christopher Lambert,17307,Gregory Widen,1994
1900000,Aim,Republic of Macedonia,Milcho Manchevski,Drama,763847,Before the Rain,NOT RATED,24/02/95,113,8.1,Katrin Cartlidge,11967,Milcho Manchevski,1994
6000000,Universal Pictures,USA,Ron Howard,Comedy,38824341,The Paper,R,25/03/94,112,6.6,Michael Keaton,11123,David Koepp,1994
2800000,Caméra One,Russia,Nikita Mikhalkov,Drama,2616503,Burnt by the Sun,R,21/04/95,135,8,Nikita Mikhalkov,11998,Rustam Ibragimbekov,1994
60000000,Mulholland Productions,USA,Glenn Gordon Caron,Comedy,18250211,Love Affair,PG-13,21/10/94,108,5.9,Warren Beatty,3922,Mildred Cram,1994
30000000,Metro-Goldwyn-Mayer (MGM),USA,Howard Deutch,Comedy,18438164,Getting Even with Dad,PG,17/06/94,109,4.6,Macaulay Culkin,6383,Tom S. Parker,1994
45000000,Caravan Pictures,USA,Charles Shyer,Action,30806194,I Love Trouble,PG,29/06/94,123,5.2,Nick Nolte,10145,Nancy Meyers,1994
2000000,Planet Productions,USA,Rodman Flender,Comedy,2260622,Leprechaun 2,R,08/04/94,85,4.4,Warwick Davis,6778,Mark Jones,1994
3000000,Jones Entertainment Group,USA,John Sayles,Drama,6101600,The Secret of Roan Inish,PG,03/02/95,103,7.5,Jeni Courtney,6305,Rosalie K. Fry,1994
7000000,Fine Line Features,USA,Alan Rudolph,Biography,2144667,Mrs. Parker and the Vicious Circle,R,23/11/94,125,6.4,Jennifer Jason Leigh,3789,Alan Rudolph,1994
20000000,Channel Films,USA,Hugh Wilson,Comedy,27053498,Guarding Tess,PG-13,11/03/94,96,6.2,Shirley MacLaine,13526,Hugh Wilson,1994
15000000,Tig Productions,USA,John Bailey,Crime,3038499,China Moon,R,04/03/94,99,6.2,Ed Harris,4508,Roy Carlson,1994
30000000,Warner Bros.,UK,Bill Forsyth,Comedy,1519366,Being Human,PG-13,06/05/94,122,5.4,Robin Williams,3439,Bill Forsyth,1994
17080000,Hollywood Pictures,USA,Paul Michael Glaser,Comedy,21011500,The Air Up There,PG,07/01/94,107,5.5,Kevin Bacon,7663,Max Apple,1994
20000000,Majestic Films International,USA,Kevin Reynolds,Action,305070,Rapa Nui,R,09/09/94,107,6.4,Jason Scott Lee,4075,Kevin Reynolds,1994
2300000,Fine Line Features,USA,James Gray,Crime,1095885,Little Odessa,R,19/05/95,98,6.8,Tim Roth,6076,James Gray,1994
13000000,Nelson Entertainment,USA,Donald Petrie,Comedy,3134081,The Favor,R,29/04/94,97,5.3,Harley Jane Kozak,2201,Sara Parriott,1994
15000000,Metro-Goldwyn-Mayer (MGM),USA,Bob Clark,Comedy,70936,It Runs in the Family,PG,23/09/94,85,5.7,Charles Grodin,1234,Jean Shepherd,1994
2300000,American Playhouse,USA,Hal Hartley,Comedy,856422,Amateur,R,19/05/95,105,7,Isabelle Huppert,4804,Hal Hartley,1994
30000000,Kouf/Bigelow Productions,USA,Bruce Beresford,Drama,3180674,Silent Fall,R,28/10/94,100,5.9,Richard Dreyfuss,3114,Akiva Goldsman,1994
3200000,Barcelona Films,USA,Whit Stillman,Comedy,7266973,Barcelona,PG-13,29/07/94,101,7,Taylor Nichols,4843,Whit Stillman,1994
10500000,Nelson Entertainment,USA,Floyd Mutrux,Comedy,123509,There Goes My Baby,R,02/09/94,99,6.4,Dermot Mulroney,902,Floyd Mutrux,1994
30000000,Baltimore Pictures,USA,Barry Levinson,Crime,3692874,Jimmy Hollywood,R,30/03/94,112,5.3,Joe Pesci,2702,Barry Levinson,1994
44000000,Columbia Pictures Corporation,USA,James L. Brooks,Comedy,10209111,I'll Do Anything,PG-13,04/02/94,115,5.6,Nick Nolte,2180,James L. Brooks,1994
15000000,Universal Pictures,USA,Mel Smith,Comedy,1299060,Radioland Murders,PG,21/10/94,108,6.2,Brian Benben,2920,George Lucas,1994
200000,Acme Films Ltd.,USA,Gary Jones,Horror,986314,Mosquito,R,21/11/94,92,4.6,Gunnar Hansen,1715,Tom Chaney,1994
15000,Can I Watch,USA,Rose Troche,Drama,2408311,Go Fish,R,08/07/94,83,5.6,V.S. Brodie,1742,Rose Troche,1994
10700000,Orion Pictures,USA,Bill Fishman,Comedy,1238080,"Car 54, Where Are You?",PG-13,28/01/94,89,2.4,David Johansen,4018,Nat Hiken,1994
1000000,Kino Link Company,USA,Michael Almereyda,Drama,446934,Nadja,R,01/09/95,93,6,Elina Löwensohn,2586,Michael Almereyda,1994
19200000,Walt Disney Pictures,USA,Xavier Koller,Adventure,3337685,Squanto: A Warrior's Tale,PG,28/10/94,102,6.1,Adam Beach,939,Darlene Craviotto,1994
18000000,Metro-Goldwyn-Mayer (MGM),USA,Mick Jackson,Comedy,7503192,Clean Slate,PG-13,06/05/94,107,5.7,Dana Carvey,3264,Robert King,1994
20000000,Capitol Films,South Africa,Bruce Beresford,Comedy,2308390,A Good Man in Africa,R,09/09/94,94,5,Colin Friels,2032,William Boyd,1994
33000000,Cecchi Gori Pictures,USA,David Fincher,Crime,100125643,Se7en,R,22/09/95,127,8.6,Morgan Freeman,1134655,Andrew Kevin Walker,1995
50000000,TriStar Pictures,USA,Joe Johnston,Action,100475249,Jumanji,PG,15/12/95,104,6.9,Robin Williams,232339,Jonathan Hensleigh,1995
72000000,Icon Entertainment International,USA,Mel Gibson,Biography,75600000,Braveheart,R,24/05/95,178,8.4,Mel Gibson,807256,Randall Wallace,1995
6000000,PolyGram Filmed Entertainment,USA,Bryan Singer,Crime,23341568,The Usual Suspects,R,15/09/95,106,8.6,Kevin Spacey,814470,Christopher McQuarrie,1995
60000000,Warner Bros.,USA,Michael Mann,Action,67436818,Heat,R,15/12/95,170,8.2,Al Pacino,470080,Michael Mann,1995
12000000,Paramount Pictures,USA,Amy Heckerling,Comedy,56631572,Clueless,PG-13,19/07/95,97,6.8,Alicia Silverstone,136975,Amy Heckerling,1995
55000000,Walt Disney Pictures,USA,Mike Gabriel,Animation,141600000,Pocahontas,G,23/06/95,81,6.7,Mel Gibson,133708,Carl Binder,1995
29000001,Universal Pictures,USA,Terry Gilliam,Mystery,57141459,Twelve Monkeys,R,05/01/96,129,8,Bruce Willis,500403,Chris Marker,1995
30000000,Pixar Animation Studios,USA,John Lasseter,Animation,191796233,Toy Story,G,22/11/95,81,8.3,Tom Hanks,694113,John Lasseter,1995
100000000,Warner Bros.,USA,Joel Schumacher,Action,184031112,Batman Forever,PG-13,16/06/95,121,5.4,Val Kilmer,203965,Bob Kane,1995
60000000,Eon Productions,UK,Martin Campbell,Action,106600000,GoldenEye,PG-13,17/11/95,130,7.2,Pierce Brosnan,209588,Ian Fleming,1995
52000000,Universal Pictures,France,Martin Scorsese,Crime,42438300,Casino,R,22/11/95,178,8.2,Robert De Niro,367532,Nicholas Pileggi,1995
1500000,Guys Upstairs,USA,Larry Clark,Drama,7417210,Kids,UNRATED,01/09/95,91,7,Leo Fitzpatrick,63097,Harmony Korine,1995
45000000,Carolco Pictures,France,Paul Verhoeven,Drama,20302961,Showgirls,NC-17,22/09/95,128,4.7,Elizabeth Berkley,53325,Joe Eszterhas,1995
50000000,Universal Pictures,USA,Brad Silberling,Comedy,100328194,Casper,PG,26/05/95,100,6,Bill Pullman,94596,Joseph Oriolo,1995
3500000,New Line Cinema,USA,F. Gary Gray,Comedy,27467564,Friday,R,26/04/95,91,7.3,Ice Cube,82224,Ice Cube,1995
2500000,Castle Rock Entertainment,USA,Richard Linklater,Drama,5535405,Before Sunrise,R,27/01/95,101,8.1,Ethan Hawke,207167,Richard Linklater,1995
18000000,New Line Cinema,USA,Paul W.S. Anderson,Action,70454098,Mortal Kombat,PG-13,18/08/95,101,5.8,Christopher Lambert,87007,Ed Boon,1995
52000000,Universal Pictures,USA,Ron Howard,Adventure,173837933,Apollo 13,PG,30/06/95,140,7.6,Tom Hanks,224635,Jim Lovell,1995
20000000,United Artists,USA,Iain Softley,Comedy,7564000,Hackers,PG-13,15/09/95,107,6.2,Jonny Lee Miller,57821,Rafael Moreu,1995
19000000,Don Simpson/Jerry Bruckheimer Films,USA,Michael Bay,Action,65807024,Bad Boys,R,07/04/95,119,6.8,Will Smith,186965,George Gallo,1995
90000000,Cinergi Pictures Entertainment,USA,John McTiernan,Action,100012499,Die Hard with a Vengeance,R,19/05/95,128,7.6,Bruce Willis,317792,Jonathan Hensleigh,1995
10000000,Universal Pictures,USA,Tamra Davis,Comedy,25588750,Billy Madison,PG-13,10/02/95,89,6.4,Adam Sandler,112423,Tim Herlihy,1995
175000000,Universal Pictures,USA,Kevin Reynolds,Action,88246220,Waterworld,PG-13,28/07/95,135,6.1,Kevin Costner,153742,Peter Rader,1995
50000000,Paramount Pictures,USA,Frank Marshall,Action,81022101,Congo,PG-13,09/06/95,109,5.1,Laura Linney,36705,Michael Crichton,1995
16000000,Columbia Pictures Corporation,USA,Ang Lee,Drama,43182776,Sense and Sensibility,PG,26/01/96,136,7.7,Emma Thompson,84237,Jane Austen,1995
30250000,Metro-Goldwyn-Mayer (MGM),USA,Barry Sonnenfeld,Comedy,72077000,Get Shorty,R,20/10/95,105,6.9,Gene Hackman,66364,Elmore Leonard,1995
62000000,Universal Pictures,USA,Rob Reiner,Comedy,65000000,The American President,PG-13,17/11/95,114,6.8,Michael Douglas,45293,Aaron Sorkin,1995
25000000,Trilogy Entertainment Group,USA,Rachel Talalay,Action,4064333,Tank Girl,R,31/03/95,104,5.3,Lori Petty,26302,Alan Martin,1995
9500000,Caravan Pictures,USA,Victor Salva,Drama,30862146,Powder,PG-13,27/10/95,111,6.6,Mary Steenburgen,25582,Victor Salva,1995
35000000,Metro-Goldwyn-Mayer (MGM),USA,Roger Donaldson,Action,60074103,Species,R,07/07/95,108,5.8,Natasha Henstridge,64667,Dennis Feldman,1995
18000000,Club d'Investissement Média,France,Marc Caro,Fantasy,1513028,The City of Lost Children,R,15/12/95,112,7.7,Ron Perlman,58437,Gilles Adrien,1995
3600000,Lumiere Pictures,France,Mike Figgis,Drama,31968347,Adiós a Las Vegas,R,09/02/96,111,7.6,Nicolas Cage,99239,John O'Brien,1995
7000000,Columbia Pictures Corporation,USA,Robert Rodriguez,Action,25625110,Desperado,R,25/08/95,104,7.2,Antonio Banderas,147918,Robert Rodriguez,1995
30000000,Universal Pictures,Australia,Chris Noonan,Comedy,66600000,"Babe, el puerquito valiente",G,04/08/95,91,6.8,James Cromwell,100541,Dick King-Smith,1995
42000000,Lightstorm Entertainment,USA,Kathryn Bigelow,Action,7919000,Strange Days,R,13/10/95,145,7.2,Ralph Fiennes,57697,James Cameron,1995
30000000,Morgan Creek Productions,USA,Steve Oedekerk,Adventure,108385533,Ace Ventura: When Nature Calls,PG-13,10/11/95,90,6.3,Jim Carrey,172305,Jack Bernstein,1995
4000000,Miramax,USA,Allison Anders,Comedy,4301331,Four Rooms,R,25/12/95,98,6.7,Tim Roth,83723,Allison Anders,1995
17000000,Hollywood Pictures,USA,Jon Turteltaub,Comedy,81057016,While You Were Sleeping,PG,21/04/95,103,6.7,Sandra Bullock,76882,Daniel G. Sullivan,1995
32000000,TriStar Pictures,Japan,Sam Raimi,Action,18636537,Rápida y mortal,R,10/02/95,107,6.4,Sharon Stone,73223,Simon Moore,1995
70000000,Hollywood Pictures,USA,Danny Cannon,Action,34693481,Judge Dredd,R,30/06/95,96,5.5,Sylvester Stallone,95091,John Wagner,1995
22000000,Universal Pictures,USA,John Carpenter,Horror,9417567,Village of the Damned,R,28/04/95,99,5.6,Christopher Reeve,23569,John Wyndham,1995
17000000,Warner Bros.,USA,Alfonso Cuarón,Drama,10019307,A Little Princess,G,19/05/95,97,7.7,Liesel Matthews,26945,Frances Hodgson Burnett,1995
12000000,Paramount Pictures,USA,Betty Thomas,Comedy,46576136,The Brady Bunch Movie,PG-13,17/02/95,90,5.9,Shelley Long,18224,Sherwood Schwartz,1995
11000000,Havoc,UK,Tim Robbins,Crime,39387284,Dead Man Walking,R,02/02/96,122,7.6,Susan Sarandon,77349,Helen Prejean,1995
25000000,Lancaster Gate,USA,Howard Deutch,Comedy,69870000,Grumpier Old Men,PG-13,22/12/95,101,6.6,Walter Matthau,20718,Mark Steven Johnson,1995
20000000,Regency Enterprises,USA,Jon Amiel,Drama,32051917,Copycat,R,27/10/95,123,6.6,Sigourney Weaver,45066,Ann Biderman,1995
15000000,Twentieth Century Fox Film Corporation,USA,Bryan Spicer,Action,37804616,Mighty Morphin Power Rangers: The Movie,PG,30/06/95,95,5.1,Karan Ashley,21647,John Kamps,1995
50000000,Warner Bros.,USA,Wolfgang Petersen,Action,67823573,Outbreak,R,10/03/95,127,6.6,Dustin Hoffman,95549,Laurence Dworet,1995
9000000,Pandora Filmproduktion,USA,Jim Jarmusch,Drama,1037847,Dead Man,R,10/05/96,121,7.7,Johnny Depp,77407,Jim Jarmusch,1995
53000000,Hollywood Pictures,USA,Tony Scott,Action,91400000,Crimson Tide,R,12/05/95,116,7.3,Gene Hackman,86579,Michael Schiffer,1995
24000000,Warner Bros.,USA,Clint Eastwood,Drama,71516617,The Bridges of Madison County,PG-13,02/06/95,135,7.6,Clint Eastwood,58975,Richard LaGravenese,1995
23000000,Hollywood Pictures,USA,John N. Smith,Biography,84919401,Dangerous Minds,R,11/08/95,99,6.4,Michelle Pfeiffer,40880,LouAnne Johnson,1995
20000000,Columbia Pictures Corporation,USA,Gus Van Sant,Comedy,21284514,To Die For,R,06/10/95,106,6.8,Nicole Kidman,36974,Joyce Maynard,1995
6000000,Gramercy Pictures (I),USA,Kevin Smith,Comedy,2122561,Mallrats,R,20/10/95,94,7.2,Shannen Doherty,103484,Kevin Smith,1995
5000000,Halloween VI Productions,USA,Joe Chappelle,Horror,15116634,Halloween: The Curse of Michael Myers,R,29/09/95,87,5,Donald Pleasence,22890,Debra Hill,1995
60000000,Warner Bros.,USA,Geoff Murphy,Action,50024083,Under Siege 2: Dark Territory,R,14/07/95,100,5.4,Steven Seagal,38220,Richard Hatem,1995
