budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,18/04/86,100,5.6,Danny DeVito,4573,George Gallo,1986
17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,29/08/86,97,3.1,Sean Penn,4339,John Kohn,1986
16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,31/01/86,111,5.7,Richard Gere,2287,David Himmelstein,1986
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,23/01/87,105,6.4,Diane Keaton,3079,Beth Henley,1986
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,18/04/86,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986
4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,12/09/86,104,5.9,Michael Dudikoff,1808,James Booth,1986
18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,25/12/86,108,6.9,Blythe Danner,2720,Neil Simon,1986
25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,07/11/86,127,5.5,Bryan Brown,1340,John Briley,1986
17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,13/03/87,101,5.5,Burt Reynolds,1358,William Goldman,1986
14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,02/05/86,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986
3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,29/08/86,97,4.3,Mike Norris,1509,Renny Harlin,1986
10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,02/05/86,83,4.4,Judd Nelson,792,Ross Macdonald,1986
2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,12/12/86,111,5.9,Victor Love,448,Richard Wesley,1986
18000000,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,PG,31/10/86,100,4.6,Scott McGinnis,183,Thom Keyes,1986
1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,R,03/10/86,86,4.9,David Carradine,489,T.L. Lankford,1986
16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,09/10/87,98,8.1,Cary Elwes,320953,William Goldman,1987
1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,18/09/87,94,7,Andrew Robinson,83209,Clive Barker,1987
30000000,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,10/07/87,116,8.3,Matthew Modine,537826,Gustav Hasford,1987
6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,21/08/87,100,6.9,Patrick Swayze,155978,Eleanor Bergstein,1987
15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,12/06/87,107,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987
27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,13/11/87,101,6.6,Arnold Schwarzenegger,120345,Stephen King,1987
22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,24/06/87,96,7.1,Mel Brooks,146748,Mel Brooks,1987
13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,17/07/87,102,7.5,Peter Weller,196245,Edward Neumeier,1987
15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,06/03/87,110,7.6,Mel Gibson,204328,Shane Black,1987
25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,03/06/87,119,7.9,Kevin Costner,234254,Oscar Fraley,1987
3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,13/03/87,84,7.8,Bruce Campbell,123325,Sam Raimi,1987
22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,07/08/87,106,5.4,Dolph Lundgren,30370,David Odell,1987
12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,14/08/87,82,7.2,Andre Gower,21420,Shane Black,1987
14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,18/09/87,119,6.9,Michael Douglas,60383,James Dearden,1987
